24 мар. 2026 23:27:23,203 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:23,206 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:23,209 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:23,211 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:23,219 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:23,259 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:23,407 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:23,421 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:23,466 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:24,562 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:24,594 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:24,939 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:24,951 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:25,307 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:25,322 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:25,970 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:26,028 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:26,057 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:26,783 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:26,787 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:28,991 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:29,895 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:32,695 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:33,109 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:33,115 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:34,883 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:34,885 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 6) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:36,035 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 7) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:36,039 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 6) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:36,039 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 5) CONNECTION : 21968, Current connections count : 7
24 мар. 2026 23:27:36,137 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 9220, Current connections count : 7
24 мар. 2026 23:27:36,148 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:36,154 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:36,463 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:36,468 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 4) CONNECTION : 5256, Current connections count : 7
24 мар. 2026 23:27:36,694 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 5) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:36,698 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 4) CONNECTION : 22888, Current connections count : 7
24 мар. 2026 23:27:36,817 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 3) CONNECTION : 5256, Current connections count : 7
